id,username,email,password,walletAddress
1,javi001,javi@example.com,1234,btc_wallet_abc
2,ana2025,ana@example.com,abcd,btc_wallet_def
3,carlosX,carlos@example.com,pass123,btc_wallet_ghi
4,maria77,maria@example.com,qwerty,btc_wallet_jkl
5,luis_dev,luis@example.com,devpass,btc_wallet_mno
6,sofiaAI,sofia@example.com,ml2025,btc_wallet_pqr
7,miguelT,miguel@example.com,astro123,btc_wallet_stu
8,lauraM,laura@example.com,artlover,btc_wallet_vwx
9,davidK,david@example.com,crypto!,btc_wallet_yza
10,emmaJ,emma@example.com,deepnet,btc_wallet_bcd
11,joseR,jose@example.com,physics!,btc_wallet_efg
12,andresB,andres@example.com,patria77,btc_wallet_hij
13,claraR,clara@example.com,haskell,btc_wallet_klm
14,markE,mark@example.com,blockchain,btc_wallet_nop
15,anaL,ana.lopez@example.com,quantum,btc_wallet_qrs
16,julioC,julio@example.com,cortazar,btc_wallet_tuv
17,carlosD,carlos.diaz@example.com,design123,btc_wallet_wxy
18,mariaS,maria.silva@example.com,ia2020,btc_wallet_zab
19,pedroG,pedro@example.com,thermo,btc_wallet_cde
20,gabrielaM,gabriela@example.com,poesia,btc_wallet_fgh
